thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,calibration.started,mouse_2.started,polygon_2.started,calibration.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.corr,trial.started,mouse.started,polygon.started,time_in_run,x_coord_mouse,y_coord_mouse,x_coord_target,y_coord_target,opacity,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.659714937,-0.04,-0.135,0.698304706,-1.662734837,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.668688774,-0.038333333,-0.135,0.82146781,-1.857790042,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.677654743,-0.035,-0.133333333,0.551706073,-2.059877625,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.688617706,-0.031666667,-0.126666667,0.020521961,-1.911108121,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.698587179,-0.026666667,-0.116666667,0.272676208,-1.895134883,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.707557678,-0.025,-0.108333333,0.214104833,-0.923024625,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.717519999,-0.021666667,-0.1,0.366528978,-1.400149235,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.7284832,-0.02,-0.095,0.175768377,-1.428333185,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.736457825,-0.02,-0.091666667,0.146989922,-1.384666533,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.747424364,-0.02,-0.09,0.358341245,-1.303153638,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.75645566,-0.02,-0.09,0.383430397,-1.831516335,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.76542902,-0.02,-0.09,0.409121773,-1.61099282,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3.774396658,-0.023333333,-0.09,0.121169047,-1.470551044,1,,782340,1,2025-06-22_16h54.39.070,ContPsyTracking,2024.2.4,104.7514196,2025-06-22 16h54.43.745144 -0400
